Year,MexState,Mode,TradeType,TradeValue,Weight,WeightLb
1996,Hidalgo,Rail,Export,73195482.0,,
1996,Hidalgo,Truck,Export,156005408.0,,
1996,Jalisco,Other/Unknown,Export,3275378.0,,
1996,Jalisco,Rail,Export,248951277.0,,
1996,Jalisco,Truck,Export,1601182572.0,,
1996,Michoacan,Other/Unknown,Export,18500.0,,
1996,Michoacan,Rail,Export,30196573.0,,
1996,Michoacan,Truck,Export,76105311.0,,
1996,Morelos,Other/Unknown,Export,56644.0,,
1996,Morelos,Rail,Export,5868326.0,,
1996,Morelos,Truck,Export,151615264.0,,
1996,Nayarit,Rail,Export,1161045.0,,
1996,Nayarit,Truck,Export,3450701.0,,
1996,Nuevo Leon,Other/Unknown,Export,81783533.0,,
1996,Nuevo Leon,Rail,Export,354944179.0,,
1996,Nuevo Leon,Truck,Export,2393151265.0,,
1996,Oaxaca,Rail,Export,6182661.0,,
1996,Oaxaca,Truck,Export,8072515.0,,
1996,Puebla,Other/Unknown,Export,772477.0,,
1996,Puebla,Rail,Export,35246924.0,,
1996,Puebla,Truck,Export,357047623.0,,
1996,Queretaro,Other/Unknown,Export,525828.0,,
1996,Queretaro,Rail,Export,53041936.0,,
1996,Queretaro,Truck,Export,495718560.0,,
1996,Quintana Roo,Rail,Export,358218.0,,
1996,Quintana Roo,Truck,Export,3269726.0,,
1996,San Luis Potosi,Other/Unknown,Export,9702.0,,
1996,San Luis Potosi,Rail,Export,17728274.0,,
1996,San Luis Potosi,Truck,Export,347083500.0,,
1996,Sinaloa,Rail,Export,17734999.0,,
1996,Sinaloa,Truck,Export,66439473.0,,
1996,Sonora,Rail,Export,4777118.0,,
1996,Sonora,Truck,Export,18295165.0,,
1996,Tabasco,Rail,Export,1494574.0,,
1996,Tabasco,Truck,Export,33580288.0,,
1996,Tamaulipas,Other/Unknown,Export,54647803.0,,
1996,Tamaulipas,Rail,Export,187830272.0,,
1996,Tamaulipas,Truck,Export,5418620442.0,,
1996,Tlaxcala,Other/Unknown,Export,69438.0,,
1996,Tlaxcala,Rail,Export,18994698.0,,
1996,Tlaxcala,Truck,Export,86936911.0,,
1996,Veracruz,Other/Unknown,Export,713098.0,,
1996,Veracruz,Rail,Export,42831798.0,,
1996,Veracruz,Truck,Export,118041847.0,,
1996,Yucatan,Rail,Export,327183.0,,
1996,Yucatan,Truck,Export,3890801.0,,
1996,Zacatecas,Other/Unknown,Export,89314.0,,
1996,Zacatecas,Rail,Export,482021.0,,
1996,Zacatecas,Truck,Export,72227200.0,,
1997,Aguascalientes,Other/Unknown,Export,719808.0,,
1997,Aguascalientes,Rail,Export,16559280.0,,
1997,Aguascalientes,Truck,Export,348968684.0,,
1997,Baja California,Rail,Export,2436483.0,,
1997,Baja California,Truck,Export,16492703.0,,
1997,Baja California Sur,Truck,Export,1995192.0,,
1997,Campeche,Rail,Export,8141.0,,
1997,Campeche,Truck,Export,45354720.0,,
1997,Chiapas,Rail,Export,3598062.0,,
1997,Chiapas,Truck,Export,18698678.0,,
1997,Chihuahua,Other/Unknown,Export,20833192.0,,
1997,Chihuahua,Pipeline,Export,63116572.0,,
1997,Chihuahua,Rail,Export,58584468.0,,
1997,Chihuahua,Truck,Export,8685098461.0,,
1997,Coahuila,Other/Unknown,Export,1298238.0,,
1997,Coahuila,Rail,Export,951250604.0,,
1997,Coahuila,Truck,Export,2366104043.0,,
1997,Colima,Rail,Export,10295994.0,,
1997,Colima,Truck,Export,141584477.0,,
1997,Distrito Federal,Other/Unknown,Export,7931620.0,,
1997,Distrito Federal,Pipeline,Export,3615706.0,,
1997,Distrito Federal,Rail,Export,1151312003.0,,
1997,Distrito Federal,Truck,Export,9027394737.0,,
1997,Durango,Rail,Export,56725190.0,,
1997,Durango,Truck,Export,299626452.0,,
1997,Estado de Mexico,Other/Unknown,Export,82311413.0,,
1997,Estado de Mexico,Rail,Export,516982219.0,,
1997,Estado de Mexico,Truck,Export,4712512139.0,,
1997,Guanajuato,Other/Unknown,Export,1213947.0,,
1997,Guanajuato,Rail,Export,1119942009.0,,
1997,Guanajuato,Truck,Export,441534991.0,,
1997,Guerrero,Rail,Export,6380888.0,,
1997,Guerrero,Truck,Export,17752406.0,,
1997,Hidalgo,Rail,Export,83208039.0,,
1997,Hidalgo,Truck,Export,185587196.0,,
1997,Jalisco,Other/Unknown,Export,21128592.0,,
1997,Jalisco,Rail,Export,235613130.0,,
1997,Jalisco,Truck,Export,2572976933.0,,
1997,Michoacan,Other/Unknown,Export,23954.0,,
1997,Michoacan,Rail,Export,37547522.0,,
1997,Michoacan,Truck,Export,109980780.0,,
1997,Morelos,Other/Unknown,Export,92364.0,,
1997,Morelos,Rail,Export,8378065.0,,
1997,Morelos,Truck,Export,214366481.0,,
1997,Nayarit,Rail,Export,44742.0,,
1997,Nayarit,Truck,Export,6117245.0,,
1997,Nuevo Leon,Other/Unknown,Export,66678094.0,,
1997,Nuevo Leon,Rail,Export,444740591.0,,
1997,Nuevo Leon,Truck,Export,3065181232.0,,
1997,Oaxaca,Rail,Export,6553087.0,,
1997,Oaxaca,Truck,Export,11951637.0,,
1997,Puebla,Rail,Export,43026308.0,,
1997,Puebla,Truck,Export,626105114.0,,
1997,Queretaro,Rail,Export,73700856.0,,
1997,Queretaro,Truck,Export,648714166.0,,
1997,Quintana Roo,Other/Unknown,Export,8923.0,,
1997,Quintana Roo,Rail,Export,322411.0,,
1997,Quintana Roo,Truck,Export,3939637.0,,
1997,San Luis Potosi,Other/Unknown,Export,46589.0,,
1997,San Luis Potosi,Rail,Export,40462753.0,,
1997,San Luis Potosi,Truck,Export,455721154.0,,
1997,Sinaloa,Rail,Export,12554280.0,,
1997,Sinaloa,Truck,Export,48992307.0,,
1997,Sonora,Other/Unknown,Export,34790.0,,
1997,Sonora,Rail,Export,8753194.0,,
1997,Sonora,Truck,Export,27848484.0,,
1997,Tabasco,Other/Unknown,Export,69523.0,,
1997,Tabasco,Rail,Export,1268174.0,,
1997,Tabasco,Truck,Export,31259430.0,,
