Year,Country,Mode,TradeType,TradeValue,Weight,WeightLb
2005,Canada,Pipeline,Import,48766478039.0,80823618.11,178185364.96
2005,Canada,Rail,Export,19321921453.0,,
2005,Canada,Rail,Import,60606286443.0,82560578.93,182014703.52
2005,Canada,Truck,Export,151221654536.0,,
2005,Canada,Truck,Import,143695597849.0,71797937.94,158287169.94
2005,Canada,Vessel,Export,4248644225.0,39190558.04,86400288.07
2005,Canada,Vessel,Import,13997160661.0,79149495.22,174494560.15
2005,Mexico,Air,Export,6439250697.0,60498.65,133376.53
2005,Mexico,Air,Import,3903181081.0,70926.2,156365.32
2005,Mexico,Foreign Trade Zones (FTZs),Import,360424046.0,48149.86,106152.14
2005,Mexico,Mail (U.S. Postal Service),Export,21608950.0,,
2005,Mexico,Mail (U.S. Postal Service),Import,17930.0,3.85,8.49
2005,Mexico,Other/Unknown,Export,4622773392.0,,
2005,Mexico,Other/Unknown,Import,1990203024.0,36705.21,80921.04
2005,Mexico,Pipeline,Export,543280575.0,,
2005,Mexico,Rail,Export,15747653347.0,,
2005,Mexico,Rail,Import,20782187557.0,10892365.41,24013526.63
2005,Mexico,Truck,Export,83341195015.0,,
2005,Mexico,Truck,Import,112267625665.0,30134163.3,66434379.09
2005,Mexico,Vessel,Export,9333152417.0,25120286.03,55380684.99
2005,Mexico,Vessel,Import,30894244502.0,112413718.55,247829532.19
2006,Canada,Air,Export,15991852308.0,234789.06,517620.66
2006,Canada,Air,Import,8423706025.0,69010.68,152142.33
2006,Canada,Foreign Trade Zones (FTZs),Import,145474719.0,248634.45,548144.48
2006,Canada,Mail (U.S. Postal Service),Export,43835035.0,,
2006,Canada,Mail (U.S. Postal Service),Import,152957.0,1.44,3.17
2006,Canada,Other/Unknown,Export,20263355676.0,,
2006,Canada,Other/Unknown,Import,11736005741.0,11131.77,24541.32
2006,Canada,Pipeline,Export,2180043390.0,,
2006,Canada,Pipeline,Import,53865219747.0,89299715.0,196871937.68
2006,Canada,Rail,Export,22477841080.0,,
2006,Canada,Rail,Import,63258380901.0,83326920.91,183704196.38
2006,Canada,Truck,Export,164318147851.0,,
2006,Canada,Truck,Import,149883996840.0,68754534.54,151577621.94
2006,Canada,Vessel,Export,4981721159.0,36039346.68,79453064.48
2006,Canada,Vessel,Import,16103312813.0,76593490.11,168859540.17
2006,Mexico,Air,Export,7367340926.0,63605.29,140225.49
2006,Mexico,Air,Import,4117754268.0,77763.93,171439.92
2006,Mexico,Foreign Trade Zones (FTZs),Import,423335649.0,283770.15,625605.35
2006,Mexico,Mail (U.S. Postal Service),Export,335018.0,,
2006,Mexico,Mail (U.S. Postal Service),Import,47465.0,2.9,6.39
2006,Mexico,Other/Unknown,Export,5779074596.0,,
2006,Mexico,Other/Unknown,Import,2399227652.0,73702.87,162486.82
2006,Mexico,Pipeline,Export,706958930.0,,
2006,Mexico,Pipeline,Import,55378478.0,128347.41,282957.27
2006,Mexico,Rail,Export,17271215936.0,,
2006,Mexico,Rail,Import,25863514447.0,11817267.84,26052585.03
2006,Mexico,Truck,Export,92991597972.0,,
2006,Mexico,Truck,Import,126463643790.0,31287688.51,68977463.84
2006,Mexico,Vessel,Export,10050559675.0,25704762.74,56669234.03
2006,Mexico,Vessel,Import,38935737429.0,113062688.51,249260264.34
2007,Canada,Air,Export,16956825480.0,242920.01,535546.31
2007,Canada,Air,Import,9129974902.0,93851.22,206906.28
2007,Canada,Foreign Trade Zones (FTZs),Import,433534897.0,787286.28,1735667.08
2007,Canada,Mail (U.S. Postal Service),Export,50453186.0,0.0,0.0
2007,Canada,Mail (U.S. Postal Service),Import,360648.0,13.03,28.73
2007,Canada,Other/Unknown,Export,22833847369.0,0.0,0.0
2007,Canada,Other/Unknown,Import,12957376853.0,10699.46,23588.24
2007,Canada,Pipeline,Export,3334488424.0,0.0,0.0
2007,Canada,Pipeline,Import,55015564222.0,90235149.64,198934215.6
2007,Canada,Rail,Export,25496819968.0,0.0,0.0
2007,Canada,Rail,Import,65962153203.0,81947319.35,180662699.19
2007,Canada,Truck,Export,174342729103.0,0.0,0.0
2007,Canada,Truck,Import,150404072351.0,65559249.83,144533233.36
2007,Canada,Vessel,Export,5422000228.0,35232315.0,77673866.3
2007,Canada,Vessel,Import,19207842057.0,76533228.74,168726686.74
2007,Mexico,Air,Export,6823861998.0,63113.05,139140.29
2007,Mexico,Air,Import,4684452845.0,103893.26,229045.16
2007,Mexico,Foreign Trade Zones (FTZs),Import,751125938.0,84927.05,187231.87
2007,Mexico,Mail (U.S. Postal Service),Export,2850944.0,0.0,0.0
2007,Mexico,Other/Unknown,Export,5581047499.0,0.0,0.0
2007,Mexico,Other/Unknown,Import,2696392377.0,1926.07,4246.25
2007,Mexico,Pipeline,Export,787353938.0,0.0,0.0
2007,Mexico,Pipeline,Import,168626787.0,333736.51,735762.18
2007,Mexico,Rail,Export,19340034202.0,0.0,0.0
2007,Mexico,Rail,Import,27060046647.0,11102832.11,24477525.73
2007,Mexico,Truck,Export,93047207023.0,0.0,0.0
2007,Mexico,Truck,Import,137036970391.0,31509973.44,69467517.65
2007,Mexico,Vessel,Export,10958906203.0,26105530.3,57552774.21
2007,Mexico,Vessel,Import,38401405895.0,103476506.28,228126375.28
2008,Canada,Air,Export,17723271193.0,245676.66,541623.68
2008,Canada,Air,Import,10099291351.0,67984.94,149880.96
2008,Canada,Foreign Trade Zones (FTZs),Import,444620918.0,567014.54,1250051.6
2008,Canada,Mail (U.S. Postal Service),Export,43303836.0,0.0,0.0
2008,Canada,Mail (U.S. Postal Service),Import,75658.0,21.73,47.91
2008,Canada,Other/Unknown,Export,23294449030.0,0.0,0.0
2008,Canada,Other/Unknown,Import,13555096137.0,6395.3,14099.21
2008,Canada,Pipeline,Export,4313154813.0,0.0,0.0
2008,Canada,Pipeline,Import,82018498636.0,94627537.98,208617762.78
2008,Canada,Rail,Export,29437520239.0,0.0,0.0
2008,Canada,Rail,Import,63756927777.0,75088520.31,165541653.65
2008,Canada,Truck,Export,178593025833.0,0.0,0.0
2008,Canada,Truck,Import,141352516407.0,58029942.43,127933971.68
2008,Canada,Vessel,Export,7509639240.0,43791193.44,96542940.88
2008,Canada,Vessel,Import,24328242539.0,71058684.21,156657396.38
2008,Mexico,Air,Export,7029862478.0,58855.45,129753.9
2008,Mexico,Air,Import,5952167935.0,82866.81,182689.83
2008,Mexico,Foreign Trade Zones (FTZs),Import,1078933251.0,149231.89,328999.61
2008,Mexico,Mail (U.S. Postal Service),Export,605580.0,0.0,0.0
2008,Mexico,Mail (U.S. Postal Service),Import,64722.0,1.3,2.87
2008,Mexico,Other/Unknown,Export,6107213645.0,0.0,0.0
2008,Mexico,Other/Unknown,Import,2716860324.0,1427.07,3146.15
2008,Mexico,Pipeline,Export,1250498028.0,0.0,0.0
2008,Mexico,Pipeline,Import,193177052.0,363398.48,801155.56
2008,Mexico,Rail,Export,21965202688.0,0.0,0.0
2008,Mexico,Rail,Import,25264779570.0,9960514.47,21959149.41
2008,Mexico,Truck,Export,100263910640.0,0.0,0.0
2008,Mexico,Truck,Import,134224191876.0,30444053.47,67117569.16
2008,Mexico,Vessel,Export,14921298885.0,26453867.61,58320725.61
2008,Mexico,Vessel,Import,46484679598.0,91174204.07,201004473.78
2009,Canada,Air,Export,15795878180.0,186948.09,412149.5
2009,Canada,Air,Import,8570074307.0,45860.27,101104.47
2009,Canada,Foreign Trade Zones (FTZs),Import,222922791.0,355824.46,784457.72
2009,Canada,Mail (U.S. Postal Service),Export,47829704.0,0.0,0.0
2009,Canada,Mail (U.S. Postal Service),Import,131469.0,9.52,20.99
2009,Canada,Other/Unknown,Export,19233479458.0,0.0,0.0
2009,Canada,Other/Unknown,Import,9098369248.0,6309.51,13910.07
2009,Canada,Pipeline,Export,2641770418.0,0.0,0.0
2009,Canada,Pipeline,Import,45630257106.0,94692742.38,208761513.71
2009,Canada,Rail,Export,19973418265.0,0.0,0.0
2009,Canada,Rail,Import,41058183851.0,53096173.67,117056886.4
2009,Canada,Truck,Export,142677944784.0,0.0,0.0
