Year,Month,Country,Mode,TradeType,TradeValue,Weight,WeightLb
2007,9,Canada,Air,Import,788038226.0,7650.9,16867.33
2007,9,Canada,Foreign Trade Zones (FTZs),Import,23177617.0,34130.48,75244.74
2007,9,Canada,Mail (U.S. Postal Service),Export,4437391.0,0.0,0.0
2007,9,Canada,Mail (U.S. Postal Service),Import,1024.0,0.01,0.02
2007,9,Canada,Other/Unknown,Export,1785935163.0,0.0,0.0
2007,9,Canada,Other/Unknown,Import,851937276.0,393.67,867.89
2007,9,Canada,Pipeline,Export,324721787.0,0.0,0.0
2007,9,Canada,Pipeline,Import,4113295851.0,6518634.99,14371113.07
2007,9,Canada,Rail,Export,2278204808.0,0.0,0.0
2007,9,Canada,Rail,Import,5701735656.0,6642638.2,14644493.03
2007,9,Canada,Truck,Export,14960747955.0,0.0,0.0
2007,9,Canada,Truck,Import,12609687270.0,5658224.68,12474235.29
2007,9,Canada,Vessel,Export,468263757.0,2579900.95,5687701.23
2007,9,Canada,Vessel,Import,2005082844.0,7258521.24,16002281.1
2007,9,Mexico,Air,Export,612855054.0,5493.25,12110.53
2007,9,Mexico,Air,Import,452887627.0,9859.96,21737.47
2007,9,Mexico,Foreign Trade Zones (FTZs),Import,65486039.0,8141.84,17949.66
2007,9,Mexico,Mail (U.S. Postal Service),Export,39771.0,0.0,0.0
2007,9,Mexico,Other/Unknown,Export,501576575.0,0.0,0.0
2007,9,Mexico,Other/Unknown,Import,233058071.0,86.29,190.24
2007,9,Mexico,Pipeline,Export,66540830.0,0.0,0.0
2007,9,Mexico,Pipeline,Import,11507995.0,21435.95,47258.12
2007,9,Mexico,Rail,Export,1711555790.0,0.0,0.0
2007,9,Mexico,Rail,Import,2597452345.0,890798.1,1963871.31
2007,9,Mexico,Truck,Export,7563410612.0,0.0,0.0
2007,9,Mexico,Truck,Import,11366960082.0,2290861.12,5050478.24
2007,9,Mexico,Vessel,Export,870271595.0,2121724.31,4677595.85
2007,9,Mexico,Vessel,Import,2900961760.0,7412160.89,16340998.14
2007,10,Canada,Air,Export,1603697986.0,22874.08,50428.65
2007,10,Canada,Air,Import,812772356.0,7563.58,16674.82
2007,10,Canada,Foreign Trade Zones (FTZs),Import,14453154.0,15964.84,35196.41
2007,10,Canada,Mail (U.S. Postal Service),Export,5029832.0,0.0,0.0
2007,10,Canada,Other/Unknown,Export,2210868997.0,0.0,0.0
2007,10,Canada,Other/Unknown,Import,1274463581.0,701.91,1547.44
2007,10,Canada,Pipeline,Export,108106605.0,0.0,0.0
2007,10,Canada,Pipeline,Import,5116967127.0,8357242.33,18424543.59
2007,10,Canada,Rail,Export,2367519398.0,0.0,0.0
2007,10,Canada,Rail,Import,5697678660.0,6907076.04,15227477.98
2007,10,Canada,Truck,Export,16683304987.0,0.0,0.0
2007,10,Canada,Truck,Import,14205739762.0,5814024.65,12817715.02
2007,10,Canada,Vessel,Export,483427906.0,3343543.48,7371242.83
2007,10,Canada,Vessel,Import,1573384205.0,7003100.16,15439174.67
2007,10,Mexico,Air,Export,579862585.0,5550.23,12236.15
2007,10,Mexico,Air,Import,463813153.0,10169.19,22419.2
