Year,Month,CommodityGroup,Mode,TradeType,TradeValue,Weight,WeightLb
2007,2,"Foodstuffs, Beverages & Tobacco",Air,Export,354052.0,34.84,76.81
2007,2,"Foodstuffs, Beverages & Tobacco",Air,Import,330304.0,26.56,58.55
2007,2,"Foodstuffs, Beverages & Tobacco",Foreign Trade Zones (FTZs),Import,101263.0,32.24,71.08
2007,2,"Foodstuffs, Beverages & Tobacco",Other/Unknown,Export,1952738.0,,
2007,2,"Foodstuffs, Beverages & Tobacco",Rail,Export,59381956.0,,
2007,2,"Foodstuffs, Beverages & Tobacco",Rail,Import,116842654.0,216030.7,476265.6
2007,2,"Foodstuffs, Beverages & Tobacco",Truck,Export,133651280.0,,
2007,2,"Foodstuffs, Beverages & Tobacco",Truck,Import,231525366.0,207357.63,457144.78
2007,2,"Foodstuffs, Beverages & Tobacco",Vessel,Export,5277512.0,11408.1,25150.53
2007,2,"Foodstuffs, Beverages & Tobacco",Vessel,Import,24988134.0,30153.66,66477.36
2007,2,"Footwear, Headgear & Umbrellas",Air,Export,1146899.0,71.07,156.68
2007,2,"Footwear, Headgear & Umbrellas",Air,Import,568929.0,23.81,52.49
2007,2,"Footwear, Headgear & Umbrellas",Truck,Export,5663013.0,,
2007,2,"Footwear, Headgear & Umbrellas",Truck,Import,21043316.0,1449.3,3195.16
2007,2,"Footwear, Headgear & Umbrellas",Vessel,Export,103269.0,10.15,22.38
2007,2,"Footwear, Headgear & Umbrellas",Vessel,Import,32555.0,5.84,12.87
2007,2,Live Animals & Animal Products,Air,Export,2417946.0,115.06,253.66
2007,2,Live Animals & Animal Products,Air,Import,5433760.0,1035.31,2282.47
2007,2,Live Animals & Animal Products,Other/Unknown,Import,254176.0,245.02,540.18
2007,2,Live Animals & Animal Products,Rail,Export,19395732.0,,
2007,2,Live Animals & Animal Products,Truck,Export,190718708.0,,
2007,2,Live Animals & Animal Products,Truck,Import,61950921.0,22240.69,49032.27
2007,2,Live Animals & Animal Products,Vessel,Export,2018084.0,919.84,2027.9
2007,2,Live Animals & Animal Products,Vessel,Import,4138414.0,1171.72,2583.2
2007,2,Machinery & Electrical Equipment,Air,Export,283111397.0,1893.16,4173.7
2007,2,Machinery & Electrical Equipment,Air,Import,149889100.0,3187.29,7026.76
2007,2,Machinery & Electrical Equipment,Foreign Trade Zones (FTZs),Import,21547179.0,3599.55,7935.64
2007,2,Machinery & Electrical Equipment,Other/Unknown,Export,2425180.0,,
2007,2,Machinery & Electrical Equipment,Other/Unknown,Import,64722.0,0.34,0.75
2007,2,Machinery & Electrical Equipment,Rail,Export,121591146.0,,
2007,2,Machinery & Electrical Equipment,Rail,Import,192215493.0,35577.7,78435.31
2007,2,Machinery & Electrical Equipment,Truck,Export,2995006820.0,,
2007,2,Machinery & Electrical Equipment,Truck,Import,5402015059.0,504806.23,1112905.91
2007,2,Machinery & Electrical Equipment,Vessel,Export,22096149.0,4165.96,9184.36
2007,2,Machinery & Electrical Equipment,Vessel,Import,6257770.0,753.51,1661.2
2007,2,Mineral Products,Air,Export,404799.0,18.41,40.59
2007,2,Mineral Products,Air,Import,5000.0,0.02,0.04
2007,2,Mineral Products,Pipeline,Export,31473265.0,,
2007,2,Mineral Products,Pipeline,Import,7511724.0,16852.39,37153.12
2007,2,Mineral Products,Rail,Export,54712354.0,,
2007,2,Mineral Products,Rail,Import,9838035.0,152199.34,335541.71
2007,2,Mineral Products,Truck,Export,78788055.0,,
2007,2,Mineral Products,Truck,Import,43852208.0,123226.73,271668.11
2007,2,Mineral Products,Vessel,Export,253858041.0,647318.29,1427090.85
2007,2,Mineral Products,Vessel,Import,1837162036.0,7148452.69,15759621.77
2007,2,Miscellaneous Manufactured Articles,Air,Export,2727102.0,74.42,164.07
2007,2,Miscellaneous Manufactured Articles,Air,Import,1134685.0,68.45,150.91
2007,2,Miscellaneous Manufactured Articles,Other/Unknown,Export,87962.0,,
2007,2,Miscellaneous Manufactured Articles,Rail,Export,589301.0,,
2007,2,Miscellaneous Manufactured Articles,Rail,Import,1489611.0,400.46,882.86
2007,2,Miscellaneous Manufactured Articles,Truck,Export,150651538.0,,
2007,2,Miscellaneous Manufactured Articles,Truck,Import,510263448.0,91579.59,201898.2
2007,2,Miscellaneous Manufactured Articles,Vessel,Export,3511698.0,582.88,1285.03
2007,2,Miscellaneous Manufactured Articles,Vessel,Import,3187211.0,673.9,1485.69
2007,2,"Optical, Medical & Precision Instruments",Air,Export,48641121.0,381.85,841.83
2007,2,"Optical, Medical & Precision Instruments",Air,Import,23520733.0,426.45,940.16
2007,2,"Optical, Medical & Precision Instruments",Foreign Trade Zones (FTZs),Import,1453490.0,36.86,81.26
2007,2,"Optical, Medical & Precision Instruments",Mail (U.S. Postal Service),Export,9779.0,,
2007,2,"Optical, Medical & Precision Instruments",Other/Unknown,Export,523452.0,,
2007,2,"Optical, Medical & Precision Instruments",Rail,Export,5477937.0,,
2007,2,"Optical, Medical & Precision Instruments",Rail,Import,3866713.0,95.16,209.79
2007,2,"Optical, Medical & Precision Instruments",Truck,Export,219822028.0,,
2007,2,"Optical, Medical & Precision Instruments",Truck,Import,540515482.0,25515.53,56252.05
2007,2,"Optical, Medical & Precision Instruments",Vessel,Export,1952208.0,47.79,105.36
2007,2,"Optical, Medical & Precision Instruments",Vessel,Import,325964.0,19.27,42.48
2007,2,Plastics & Rubber,Air,Export,4129517.0,152.92,337.13
2007,2,Plastics & Rubber,Air,Import,2951677.0,524.75,1156.87
2007,2,Plastics & Rubber,Foreign Trade Zones (FTZs),Import,572521.0,24.46,53.93
2007,2,Plastics & Rubber,Other/Unknown,Export,97136.0,,
2007,2,Plastics & Rubber,Rail,Export,124507794.0,,
2007,2,Plastics & Rubber,Rail,Import,51643011.0,41507.86,91509.06
2007,2,Plastics & Rubber,Truck,Export,762193589.0,,
2007,2,Plastics & Rubber,Truck,Import,246162060.0,84692.02,186713.72
2007,2,Plastics & Rubber,Vessel,Export,6555546.0,4477.16,9870.44
2007,2,Plastics & Rubber,Vessel,Import,9247947.0,6877.46,15162.19
2007,2,Precious Metals & Stones,Air,Export,28118237.0,61.1,134.7
2007,2,Precious Metals & Stones,Air,Import,42468732.0,21.2,46.74
2007,2,Precious Metals & Stones,Other/Unknown,Export,3821109.0,,
2007,2,Precious Metals & Stones,Other/Unknown,Import,660309.0,0.05,0.11
2007,2,Precious Metals & Stones,Truck,Export,14038354.0,,
2007,2,Precious Metals & Stones,Truck,Import,155543951.0,522.9,1152.8
2007,2,Precious Metals & Stones,Vessel,Export,187460.0,0.15,0.33
2007,2,Precious Metals & Stones,Vessel,Import,2126.0,0.17,0.37
2007,2,"Pulp, Paper & Paperboard",Air,Export,3906336.0,322.52,711.03
2007,2,"Pulp, Paper & Paperboard",Air,Import,1165243.0,136.05,299.94
2007,2,"Pulp, Paper & Paperboard",Other/Unknown,Export,5300.0,,
2007,2,"Pulp, Paper & Paperboard",Rail,Export,73298638.0,,
2007,2,"Pulp, Paper & Paperboard",Rail,Import,1845514.0,3072.38,6773.43
2007,2,"Pulp, Paper & Paperboard",Truck,Export,210332249.0,,
2007,2,"Pulp, Paper & Paperboard",Truck,Import,92327590.0,45522.79,100360.45
2007,2,"Pulp, Paper & Paperboard",Vessel,Export,13409340.0,21304.58,46968.5
